name,slug,description,price,costPrice,wholesalePrice,compareAtPrice,images,category,sku,stock,isActive,isFeatured,showInPromotions,seoTitle,seoDescription,oemNumbers,attr_type,attr_ապրանքանիշ,attr_սեզոն,attr_լայնություն,attr_պրոֆիլ,attr_չափ,attr_տրամագիծ,vehicle_brand,vehicle_model,vehicle_yearFrom,vehicle_yearTo
,,,,,,,,Ամրակներ,C0001,0,այո,,,,,"3078511,3977775",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0002,0,այո,,,,,1619321,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0002Beige,0,այո,,,,,,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0002Grey,0,այո,,,,,,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0003,0,այո,,,,,"5208743,4006529",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0004,0,այո,,,,,"388577S,W705589S300,6030441,15958694,1605396,11569768,09620024*,9110021000001*",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0004White,0,այո,,,,,,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0004Grey,0,այո,,,,,,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0004Beige,0,այո,,,,,,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0005,0,այո,,,,,"14093311,20732399,7518C0*",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0005Natural,0,այո,,,,,,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0006,0,այո,,,,,76906T3000,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0007,0,այո,,,,,N804448,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0008,0,այո,,,,,N801925S,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0009,0,այո,,,,,"9046707050,0155300172,9046708008",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0010,0,այո,,,,,9046709006,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0011,0,այո,,,,,"6003349,4005470,9685057,N98905101",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0012,0,այո,,,,,"2064891,9818648,9883583",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0013,0,այո,,,,,"6777101010,6777112010,6295520030,9046710134,8942264920,992740825,74998WE900,0155306841,0155300603",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0014,0,այո,,,,,,,,,,,,,,,,
